餐厅名称,城市,区域,美食类型,综合评分,口味评分,环境评分,服务评分,人均消费(元),点评数量,地址,推荐菜,推荐菜_清洗,价格等级,评分等级,口碑均衡度,热门度,推荐菜列表,是否高性价比
京咖啡厅,重庆,九龙坡区,咖啡厅,3.0,3.0,3.0,2.7,36.0,290,重庆九龙坡区ifc九街弄113号,提拉米苏、拿铁、美式咖啡,拉米、拿、美咖啡,中低(31-60),较差(<3),0.17,5.86,"['提拉米苏', '拿铁', '美式咖啡']",False
阿小吃庄,成都,青羊区,小吃快餐,4.4,4.4,4.2,4.4,24.0,957,成都青羊区天府大道613号,生煎、煎饼果子、麻辣烫,煎、煎饼果、麻辣,低消费(≤30),优秀(4-4.5),0.12,28.69,"['生煎', '煎饼果子', '麻辣烫']",True
盛点都德,南京,秦淮区,粤菜,3.7,3.8,3.6,3.8,69.0,228,南京秦淮区凯德百家湖路475号6楼,豉汁蒸排骨、肠粉、白切鸡,豉排骨、肠粉、白鸡,中等(61-100),良好(3.5-4),0.12,5.65,"['豉汁蒸排骨', '肠粉', '白切鸡']",False
蓉韩国,成都,武侯区,韩国料理,3.1,2.7,3.0,2.6,104.0,173,成都武侯区ifc太古里弄769号,紫菜包饭、冷面、泡菜汤,菜包饭、冷面、泡菜,中高(101-200),一般(3-3.5),0.21,3.57,"['紫菜包饭', '冷面', '泡菜汤']",False
佩姐,上海,浦东新区,火锅,4.3,4.8,3.9,4.6,134.0,5,上海浦东新区万达广场虹桥街567号,藕片、午餐肉、虾滑,藕片、餐肉、滑,中高(101-200),优秀(4-4.5),0.47,0.0,"['藕片', '午餐肉', '虾滑']",False
元气寿司坊,南京,栖霞区,日料,4.4,4.5,4.8,4.5,125.0,40,南京栖霞区大悦城百家湖街341号,章鱼小丸子、拉面、味噌汤,、拉面、噌,中高(101-200),优秀(4-4.5),0.17,1.05,"['章鱼小丸子', '拉面', '味噌汤']",False
福私房,北京,通州区,私房菜,4.1,3.7,3.6,4.1,122.0,37,北京通州区凯德国贸巷762号3楼,招牌煲仔、招牌蒸鱼、私房豆腐,牌煲、牌、房豆腐,中高(101-200),优秀(4-4.5),0.26,0.9,"['招牌煲仔', '招牌蒸鱼', '私房豆腐']",False
广州酒家轩,杭州,余杭区,粤菜,4.4,4.6,4.5,4.6,68.0,8860,杭州余杭区来福士文三街465号6楼,煲仔饭、白切鸡、干炒牛河,煲饭、白鸡、干炒牛河,中等(61-100),优秀(4-4.5),0.06,266.83,"['煲仔饭', '白切鸡', '干炒牛河']",True
蜀大侠,北京,丰台区,火锅,4.3,4.2,4.6,4.4,94.0,34,北京丰台区万达广场长安弄798号西区2层,肥牛、藕片、黄喉,肥牛、藕片、黄喉,中等(61-100),优秀(4-4.5),0.2,0.85,"['肥牛', '藕片', '黄喉']",False
老汤,广州,番禺区,面馆,3.7,3.6,3.7,4.1,32.0,158,广州番禺区恒隆广场客村巷694号,热干面、馄饨、刀削面,热干面、馄饨、刀面,中低(31-60),良好(3.5-4),0.26,3.88,"['热干面', '馄饨', '刀削面']",False
烧烤,深圳,龙华区,烧烤,3.8,3.6,3.7,3.7,82.0,1252,深圳龙华区来福士东门弄228号B1层,烤茄子、骨肉相连、扇贝,烤茄、骨肉连、扇贝,中等(61-100),良好(3.5-4),0.06,32.45,"['烤茄子', '骨肉相连', '扇贝']",False
韩国小馆,成都,高新区,韩国料理,3.7,3.5,3.6,3.9,47.0,3891,成都高新区万象城太古里街336号北区1层,大酱汤、石锅拌饭、冷面,大酱、锅拌饭、冷面,中低(31-60),良好(3.5-4),0.21,98.47,"['大酱汤', '石锅拌饭', '冷面']",False
小吃料理,南京,江宁区,小吃快餐,3.4,3.2,3.7,3.5,29.0,38,南京江宁区来福士新街口大道103号,煎饼果子、锅贴、麻辣烫,煎饼果、锅、麻辣,低消费(≤30),一般(3-3.5),0.25,0.77,"['煎饼果子', '锅贴', '麻辣烫']",False
咖啡厅,南京,玄武区,咖啡厅,3.9,4.0,3.5,3.9,49.0,13,南京玄武区ifc玄武街697号6楼,提拉米苏、芝士蛋糕、美式咖啡,拉米、蛋糕、美咖啡,中低(31-60),良好(3.5-4),0.26,0.21,"['提拉米苏', '芝士蛋糕', '美式咖啡']",False
粤小吃楼,南京,鼓楼区,小吃快餐,3.4,3.3,3.8,2.9,17.0,184,南京鼓楼区龙湖天街湖南巷431号,生煎、酸辣粉、凉皮,煎、辣粉、凉皮,低消费(≤30),一般(3-3.5),0.45,4.17,"['生煎', '酸辣粉', '凉皮']",False
小私房菜,苏州,工业园区,私房菜,4.5,4.7,4.3,4.9,233.5,199,苏州工业园区大悦城平江路7号,功夫汤、创意融合菜、秘制红烧肉,功夫、创融合菜、秘红烧肉,高端(>200),优秀(4-4.5),0.31,5.98,"['功夫汤', '创意融合菜', '秘制红烧肉']",False
蜀眉州,北京,西城区,川菜,3.9,3.7,3.8,3.7,78.0,3942,北京西城区簋街弄938号,回锅肉、水煮鱼、麻婆豆腐,回锅肉、、麻婆豆腐,中等(61-100),良好(3.5-4),0.06,105.15,"['回锅肉', '水煮鱼', '麻婆豆腐']",False
老面馆堂,苏州,姑苏区,面馆,3.9,4.2,4.1,3.7,18.0,146,苏州姑苏区恒隆广场金鸡湖巷890号,牛肉面、馄饨、葱油拌面,牛肉面、馄饨、葱拌面,低消费(≤30),良好(3.5-4),0.26,3.77,"['牛肉面', '馄饨', '葱油拌面']",False
陶陶居,深圳,龙岗区,粤菜,3.6,3.6,3.7,3.7,153.0,26,深圳龙岗区科技园巷145号,烧鹅、白切鸡、虾饺,烧鹅、白鸡、饺,中高(101-200),良好(3.5-4),0.06,0.52,"['烧鹅', '白切鸡', '虾饺']",False
面馆餐厅,重庆,渝中区,面馆,3.6,3.7,3.4,3.4,27.0,22,重庆渝中区解放碑大道882号西区2层,炸酱面、馄饨、兰州拉面,酱面、馄饨、兰拉面,低消费(≤30),良好(3.5-4),0.17,0.42,"['炸酱面', '馄饨', '兰州拉面']",False
东南,广州,荔湾区,东南亚菜,4.0,4.2,4.0,4.1,92.0,2558,广州荔湾区太古里江南西大道170号5楼,冬阴功汤、咖喱蟹、芒果糯米饭,冬功、咖喱、芒果糯米饭,中等(61-100),良好(3.5-4),0.1,69.94,"['冬阴功汤', '咖喱蟹', '芒果糯米饭']",False
京码头,北京,大兴区,火锅,3.4,3.3,3.3,2.9,133.0,1220,北京大兴区万达广场中关村街520号4楼,鸭血、豆皮、黄喉,、豆皮、黄喉,中高(101-200),一般(3-3.5),0.23,28.29,"['鸭血', '豆皮', '黄喉']",False
本帮菜店,广州,越秀区,本帮菜,3.5,3.4,2.9,3.5,53.0,618,广州越秀区大悦城上下九弄288号1楼,酒酿圆子、红烧肉、油爆虾,酒酿、红烧肉、爆,中低(31-60),一般(3-3.5),0.32,14.69,"['酒酿圆子', '红烧肉', '油爆虾']",False
本帮,上海,宝山区,本帮菜,3.7,3.6,3.6,3.6,93.0,14294,上海宝山区来福士南京路573号6楼,蟹粉豆腐、红烧肉、糖醋排骨,粉豆腐、红烧肉、醋排骨,中等(61-100),良好(3.5-4),0.0,362.07,"['蟹粉豆腐', '红烧肉', '糖醋排骨']",False
粤菜小馆,杭州,西湖区,粤菜,4.2,4.1,3.8,4.7,94.0,8100,杭州西湖区大悦城钱江新城街579号,干炒牛河、烧鹅、虾饺,干炒牛河、烧鹅、饺,中等(61-100),优秀(4-4.5),0.46,232.84,"['干炒牛河', '烧鹅', '虾饺']",False
锦码头,广州,天河区,火锅,4.4,4.4,4.6,4.5,88.0,1570,广州天河区凯德北京路大道66号,毛肚、鸭肠、酥肉,毛肚、肠、肉,中等(61-100),优秀(4-4.5),0.1,47.16,"['毛肚', '鸭肠', '酥肉']",False
阿火锅轩,上海,浦东新区,火锅,3.9,4.1,3.9,3.7,130.0,31,上海浦东新区恒隆广场世纪大道557号西区3层,豆皮、肥牛、鸭肠,豆皮、肥牛、肠,中高(101-200),良好(3.5-4),0.2,0.69,"['豆皮', '肥牛', '鸭肠']",False
川菜料理,上海,徐汇区,川菜,3.9,4.4,3.8,3.8,62.0,12773,上海徐汇区五角场大道133号3楼,夫妻肺片、宫保鸡丁、辣子鸡,夫妻肺片、宫保鸡丁、辣鸡,中等(61-100),良好(3.5-4),0.35,341.02,"['夫妻肺片', '宫保鸡丁', '辣子鸡']",False
东南亚菜庄,北京,昌平区,东南亚菜,3.7,3.8,4.1,3.4,111.0,8,北京昌平区国贸大道463号北区2层,咖喱蟹、芒果糯米饭、烤肉串,咖喱、芒果糯米饭、烤肉串,中高(101-200),良好(3.5-4),0.35,0.08,"['咖喱蟹', '芒果糯米饭', '烤肉串']",False
湘花隐,深圳,龙华区,日料,4.1,4.5,4.2,3.9,166.0,38,深圳龙华区大悦城科技园巷981号西区3层,天妇罗、味噌汤、拉面,妇罗、噌、拉面,中高(101-200),优秀(4-4.5),0.3,0.93,"['天妇罗', '味噌汤', '拉面']",False
小吃,上海,长宁区,小吃快餐,3.6,3.6,3.6,3.4,37.0,15,上海长宁区世纪街694号西区2层,煎饼果子、麻辣烫、酸辣粉,煎饼果、麻辣、辣粉,中低(31-60),良好(3.5-4),0.12,0.25,"['煎饼果子', '麻辣烫', '酸辣粉']",False
厨房店,成都,武侯区,西餐,3.8,3.6,3.5,3.5,113.0,85,成都武侯区来福士天府大道917号,汉堡、意面、提拉米苏,汉堡、面、拉米,中高(101-200),良好(3.5-4),0.06,2.08,"['汉堡', '意面', '提拉米苏']",False
鑫东北,深圳,罗湖区,烧烤,4.3,4.5,4.4,4.5,52.0,169,深圳罗湖区万象城科技园街200号,烤馒头、烤鸡翅、烤鱼,烤馒、烤鸡翅、烤,中低(31-60),优秀(4-4.5),0.06,4.83,"['烤馒头', '烤鸡翅', '烤鱼']",True
扒房舍,北京,丰台区,西餐,3.5,3.5,3.6,3.6,128.0,400,北京丰台区来福士五道口大道171号,提拉米苏、披萨、汉堡,拉米、披萨、汉堡,中高(101-200),一般(3-3.5),0.06,9.47,"['提拉米苏', '披萨', '汉堡']",False
御广州酒家,北京,通州区,粤菜,4.1,4.2,4.3,4.1,66.0,346,北京通州区ifc三里屯大道452号南区1层,叉烧、干炒牛河、煲仔饭,叉烧、干炒牛河、煲饭,中等(61-100),优秀(4-4.5),0.1,9.57,"['叉烧', '干炒牛河', '煲仔饭']",True
盛面馆居,武汉,江岸区,面馆,3.0,2.9,2.8,3.0,30.0,142,武汉江岸区龙湖天街武广大道492号,馄饨、臊子面、牛肉面,馄饨、臊面、牛肉面,低消费(≤30),较差(<3),0.1,2.81,"['馄饨', '臊子面', '牛肉面']",False
粤海鲜,重庆,江北区,海鲜,3.8,3.9,4.1,4.0,138.0,410,重庆江北区九街路838号6楼,蒜蓉生蚝、椒盐皮皮虾、葱姜炒蟹,蓉蚝、椒皮皮、葱姜炒,中高(101-200),良好(3.5-4),0.1,10.54,"['蒜蓉生蚝', '椒盐皮皮虾', '葱姜炒蟹']",False
龙烧烤馆,苏州,吴中区,烧烤,4.0,4.0,3.6,4.2,44.0,18,苏州吴中区来福士狮山巷613号,烤鱼、烤馒头、骨肉相连,烤、烤馒、骨肉连,中低(31-60),良好(3.5-4),0.31,0.36,"['烤鱼', '烤馒头', '骨肉相连']",True
码头,杭州,滨江区,火锅,4.0,4.0,4.0,4.1,78.0,3393,杭州滨江区湖滨街572号,肥牛、鸭肠、豆皮,肥牛、肠、豆皮,中等(61-100),良好(3.5-4),0.06,92.81,"['肥牛', '鸭肠', '豆皮']",True
面包,上海,宝山区,面包甜点,3.8,3.9,3.5,3.7,45.0,25,上海宝山区万象城徐家汇大道168号,菠萝包、慕斯蛋糕、蛋挞,菠萝包、慕蛋糕、蛋,中低(31-60),良好(3.5-4),0.2,0.52,"['菠萝包', '慕斯蛋糕', '蛋挞']",False
沪海鲜,广州,海珠区,海鲜,4.4,4.4,4.4,4.3,196.0,152,广州海珠区龙湖天街江南西弄726号北区2层,葱姜炒蟹、清蒸石斑鱼、蒜蓉生蚝,葱姜炒、清斑、蓉蚝,中高(101-200),优秀(4-4.5),0.06,4.43,"['葱姜炒蟹', '清蒸石斑鱼', '蒜蓉生蚝']",False
锅贴,深圳,宝安区,小吃快餐,3.1,3.1,2.6,3.0,35.0,148,深圳宝安区海岸城巷445号南区3层,麻辣烫、煎饼果子、肉夹馍,麻辣、煎饼果、肉夹馍,中低(31-60),一般(3-3.5),0.26,3.04,"['麻辣烫', '煎饼果子', '肉夹馍']",False
福火锅馆,苏州,工业园区,火锅,3.9,4.2,3.8,3.9,137.0,63,苏州工业园区太湖弄648号,酥肉、毛肚、肥牛,肉、毛肚、肥牛,中高(101-200),良好(3.5-4),0.21,1.55,"['酥肉', '毛肚', '肥牛']",False
阿面馆记,深圳,罗湖区,面馆,4.4,4.2,3.7,4.0,32.0,3485,深圳罗湖区万象城科技园巷170号北区2层,葱油拌面、兰州拉面、牛肉面,葱拌面、兰拉面、牛肉面,中低(31-60),优秀(4-4.5),0.25,104.86,"['葱油拌面', '兰州拉面', '牛肉面']",True
面包甜点馆,重庆,渝中区,面包甜点,4.0,3.9,3.8,4.3,16.0,1546,重庆渝中区来福士九街街482号东区2层,菠萝包、慕斯蛋糕、泡芙,菠萝包、慕蛋糕、泡芙,低消费(≤30),良好(3.5-4),0.26,42.21,"['菠萝包', '慕斯蛋糕', '泡芙']",True
面包甜点记,成都,青羊区,面包甜点,3.7,3.9,3.4,3.9,27.0,33,成都青羊区太古里大道961号B2层,马卡龙、芝士蛋糕、慕斯蛋糕,马卡龙、蛋糕、慕蛋糕,低消费(≤30),良好(3.5-4),0.29,0.71,"['马卡龙', '芝士蛋糕', '慕斯蛋糕']",False
小吃小馆,北京,昌平区,小吃快餐,3.4,3.5,3.5,3.6,39.0,230,北京昌平区国贸弄407号,酸辣粉、凉皮、麻辣烫,辣粉、凉皮、麻辣,中低(31-60),一般(3-3.5),0.06,5.24,"['酸辣粉', '凉皮', '麻辣烫']",False
点都德馆,重庆,南岸区,粤菜,3.1,3.1,3.0,2.7,70.0,40,重庆南岸区万达广场洪崖洞大道482号南区1层,煲仔饭、肠粉、干炒牛河,煲饭、肠粉、干炒牛河,中等(61-100),一般(3-3.5),0.21,0.74,"['煲仔饭', '肠粉', '干炒牛河']",False
馄饨馆,苏州,吴中区,小吃快餐,3.5,3.3,3.2,3.3,23.0,41,苏州吴中区ifc金鸡湖街210号B2层,锅贴、小笼包、凉皮,锅、笼包、凉皮,低消费(≤30),一般(3-3.5),0.06,0.86,"['锅贴', '小笼包', '凉皮']",False
韩国料理记,武汉,洪山区,韩国料理,4.4,4.5,4.4,4.2,99.0,600,武汉洪山区街道口路824号西区1层,炸鸡、炒年糕、石锅拌饭,鸡、炒年糕、锅拌饭,中等(61-100),优秀(4-4.5),0.15,17.93,"['炸鸡', '炒年糕', '石锅拌饭']",False
阿小吃堂,上海,宝山区,小吃快餐,3.3,3.4,3.0,3.3,41.0,12,上海宝山区淮海街483号,肉夹馍、小笼包、麻辣烫,肉夹馍、笼包、麻辣,中低(31-60),一般(3-3.5),0.21,0.16,"['肉夹馍', '小笼包', '麻辣烫']",False
面馆,南京,建邺区,面馆,3.9,4.4,3.7,3.6,33.0,128,南京建邺区湖南大道306号B1层,馄饨、刀削面、炸酱面,馄饨、刀面、酱面,中低(31-60),良好(3.5-4),0.44,3.29,"['馄饨', '刀削面', '炸酱面']",False
聚面馆居,杭州,上城区,面馆,3.7,3.4,3.7,3.8,23.0,69,杭州上城区凯德武林街194号西区2层,葱油拌面、臊子面、炸酱面,葱拌面、臊面、酱面,低消费(≤30),良好(3.5-4),0.21,1.62,"['葱油拌面', '臊子面', '炸酱面']",False
素食,杭州,余杭区,素食,4.0,3.9,4.4,4.1,67.0,187,杭州余杭区万象城湖滨大道735号,松仁玉米、素火腿、素烧鹅,仁米、火、烧鹅,中等(61-100),良好(3.5-4),0.25,4.99,"['松仁玉米', '素火腿', '素烧鹅']",True
渝海鲜,武汉,江汉区,海鲜,4.6,4.9,5.0,4.5,112.0,88,武汉江汉区中南大道55号,蒜蓉生蚝、椒盐皮皮虾、葱姜炒蟹,蓉蚝、椒皮皮、葱姜炒,中高(101-200),卓越(≥4.5),0.26,2.61,"['蒜蓉生蚝', '椒盐皮皮虾', '葱姜炒蟹']",False
小笼,广州,越秀区,小吃快餐,3.4,3.5,2.6,3.2,35.0,179,广州越秀区太古里上下九弄618号1楼,凉皮、肉夹馍、小笼包,凉皮、肉夹馍、笼包,中低(31-60),一般(3-3.5),0.46,4.05,"['凉皮', '肉夹馍', '小笼包']",False
鹏湘菜,苏州,相城区,湘菜,3.7,3.4,3.5,4.2,37.0,5,苏州相城区恒隆广场观前大道75号南区1层,口味虾、臭豆腐、蒸排骨,口、臭豆腐、排骨,中低(31-60),良好(3.5-4),0.44,0.0,"['口味虾', '臭豆腐', '蒸排骨']",False
驿站,重庆,南岸区,西餐,4.8,4.8,5.0,4.9,132.0,38,重庆南岸区九街大道385号4楼,提拉米苏、汉堡、沙拉,拉米、汉堡、沙拉,中高(101-200),卓越(≥4.5),0.1,1.08,"['提拉米苏', '汉堡', '沙拉']",False
湘菜食堂,成都,锦江区,湘菜,4.2,4.0,4.5,4.3,37.0,110,成都锦江区ifc春熙巷101号2楼,辣椒炒肉、剁椒鱼头、臭豆腐,辣椒炒肉、剁椒、臭豆腐,中低(31-60),优秀(4-4.5),0.25,3.02,"['辣椒炒肉', '剁椒鱼头', '臭豆腐']",True
渝百年,北京,大兴区,面馆,3.2,3.1,3.3,3.3,31.0,1017,北京大兴区恒隆广场五道口弄347号1楼,臊子面、葱油拌面、热干面,臊面、葱拌面、热干面,中低(31-60),一般(3-3.5),0.12,22.18,"['臊子面', '葱油拌面', '热干面']",False
沪自助舍,北京,通州区,自助餐,3.8,3.7,3.4,4.2,167.0,158,北京通州区大悦城西单街398号B2层,海鲜拼盘、小龙虾、寿司,海拼盘、龙、,中高(101-200),良好(3.5-4),0.4,3.98,"['海鲜拼盘', '小龙虾', '寿司']",False
争鲜楼,南京,鼓楼区,日料,3.8,3.9,4.1,3.7,88.0,231,南京鼓楼区新街口弄132号1楼,天妇罗、拉面、章鱼小丸子,妇罗、拉面、,中等(61-100),良好(3.5-4),0.2,5.88,"['天妇罗', '拉面', '章鱼小丸子']",False
穗湘菜舍,杭州,萧山区,湘菜,4.1,3.9,3.7,4.0,82.0,11,杭州萧山区万达广场武林路356号东区2层,辣椒炒肉、农家一碗香、臭豆腐,辣椒炒肉、农家、臭豆腐,中等(61-100),优秀(4-4.5),0.15,0.17,"['辣椒炒肉', '农家一碗香', '臭豆腐']",False
西餐餐厅,广州,越秀区,西餐,3.5,3.6,3.0,3.4,152.0,302,广州越秀区天河巷400号B1层,牛排、提拉米苏、意面,牛排、拉米、面,中高(101-200),一般(3-3.5),0.31,7.12,"['牛排', '提拉米苏', '意面']",False
老东北,武汉,光谷,烧烤,4.3,4.3,4.1,4.1,71.0,43,武汉光谷来福士街道口街657号,烤茄子、烤鸡翅、扇贝,烤茄、烤鸡翅、扇贝,中等(61-100),优秀(4-4.5),0.12,1.12,"['烤茄子', '烤鸡翅', '扇贝']",True
大面馆,杭州,上城区,面馆,3.9,3.8,3.6,4.3,36.0,645,杭州上城区万象城延安街771号2楼,牛肉面、兰州拉面、葱油拌面,牛肉面、兰拉面、葱拌面,中低(31-60),良好(3.5-4),0.36,17.09,"['牛肉面', '兰州拉面', '葱油拌面']",False
咖啡,南京,玄武区,咖啡厅,4.2,4.4,4.2,3.7,37.0,1481,南京玄武区太古里河西巷990号南区1层,华夫饼、美式咖啡、拿铁,华夫饼、美咖啡、拿,中低(31-60),优秀(4-4.5),0.36,42.45,"['华夫饼', '美式咖啡', '拿铁']",True
咖啡,北京,海淀区,咖啡厅,4.0,4.2,3.7,4.3,64.0,606,北京海淀区国贸巷667号B2层,提拉米苏、拿铁、美式咖啡,拉米、拿、美咖啡,中等(61-100),良好(3.5-4),0.32,16.46,"['提拉米苏', '拿铁', '美式咖啡']",True
京小吃店,广州,白云区,小吃快餐,3.3,3.2,3.4,3.3,22.0,68,广州白云区体育西街354号,锅贴、麻辣烫、肉夹馍,锅、麻辣、肉夹馍,低消费(≤30),一般(3-3.5),0.1,1.42,"['锅贴', '麻辣烫', '肉夹馍']",False
小吃楼,成都,武侯区,小吃快餐,3.0,3.2,2.8,2.9,24.0,264,成都武侯区万象城玉林路468号,麻辣烫、小笼包、凉皮,麻辣、笼包、凉皮,低消费(≤30),较差(<3),0.21,5.32,"['麻辣烫', '小笼包', '凉皮']",False
海鲜记,苏州,虎丘区,海鲜,3.8,3.8,3.4,4.2,233.5,21,苏州虎丘区万达广场狮山巷453号,白灼虾、海胆蒸蛋、椒盐皮皮虾,白、海胆蛋、椒皮皮,高端(>200),良好(3.5-4),0.4,0.42,"['白灼虾', '海胆蒸蛋', '椒盐皮皮虾']",False
鹏西餐舍,北京,大兴区,西餐,3.5,3.1,3.6,3.8,166.0,4561,北京大兴区ifc望京弄683号,披萨、意面、烤鸡,披萨、面、烤鸡,中高(101-200),一般(3-3.5),0.36,109.2,"['披萨', '意面', '烤鸡']",False
本帮菜堂,深圳,龙华区,本帮菜,3.8,3.6,3.2,3.9,86.0,40,深圳龙华区凯德深南路725号,生煎包、糖醋排骨、八宝鸭,煎包、醋排骨、八宝,中等(61-100),良好(3.5-4),0.35,0.91,"['生煎包', '糖醋排骨', '八宝鸭']",False
西餐料理,武汉,汉阳区,西餐,4.0,4.1,4.1,3.8,96.0,5,武汉汉阳区中南大道90号2楼,烤鸡、汉堡、奶油蘑菇汤,烤鸡、汉堡、奶蘑菇,中等(61-100),良好(3.5-4),0.17,0.0,"['烤鸡', '汉堡', '奶油蘑菇汤']",False
东南亚菜,成都,高新区,东南亚菜,3.3,3.5,3.1,3.3,68.0,514,成都高新区万达广场春熙街12号5楼,烤肉串、咖喱蟹、冬阴功汤,烤肉串、咖喱、冬功,中等(61-100),一般(3-3.5),0.2,11.5,"['烤肉串', '咖喱蟹', '冬阴功汤']",False
烧烤料理,上海,静安区,烧烤,3.7,3.8,4.1,3.0,106.0,212,上海静安区ifc五角场路356号,扇贝、烤茄子、烤鱼,扇贝、烤茄、烤,中高(101-200),良好(3.5-4),0.57,5.25,"['扇贝', '烤茄子', '烤鱼']",False
西餐,武汉,武昌区,西餐,3.8,4.2,3.8,4.0,129.0,12,武汉武昌区来福士司门口街736号B1层,牛排、奶油蘑菇汤、烤鸡,牛排、奶蘑菇、烤鸡,中高(101-200),良好(3.5-4),0.2,0.18,"['牛排', '奶油蘑菇汤', '烤鸡']",False
韩国料理轩,上海,长宁区,韩国料理,4.2,4.2,4.2,4.6,112.0,182,上海长宁区南京弄336号,大酱汤、紫菜包饭、炸鸡,大酱、菜包饭、鸡,中高(101-200),优秀(4-4.5),0.23,5.09,"['大酱汤', '紫菜包饭', '炸鸡']",False
鮨楼,北京,通州区,日料,4.0,4.0,4.6,4.1,233.5,22,北京通州区万达广场国贸大道746号B2层,三文鱼刺身、寿司拼盘、鳗鱼饭,三刺、拼盘、鳗饭,高端(>200),良好(3.5-4),0.32,0.47,"['三文鱼刺身', '寿司拼盘', '鳗鱼饭']",False
湘海鲜,上海,宝山区,海鲜,3.0,3.1,3.0,2.4,233.5,100,上海宝山区南京大道301号西区2层,葱姜炒蟹、海胆蒸蛋、清蒸石斑鱼,葱姜炒、海胆蛋、清斑,高端(>200),较差(<3),0.38,1.95,"['葱姜炒蟹', '海胆蒸蛋', '清蒸石斑鱼']",False
火锅餐厅,苏州,姑苏区,火锅,4.0,3.7,3.9,4.0,85.0,60,苏州姑苏区龙湖天街独墅湖街779号2楼,虾滑、鸭肠、黄喉,滑、肠、黄喉,中等(61-100),良好(3.5-4),0.15,1.51,"['虾滑', '鸭肠', '黄喉']",False
老驿站,南京,鼓楼区,西餐,4.4,4.6,3.8,3.8,155.0,100,南京鼓楼区太古里河西街547号南区3层,意面、提拉米苏、披萨,面、拉米、披萨,中高(101-200),优秀(4-4.5),0.46,2.86,"['意面', '提拉米苏', '披萨']",False
川菜小馆,重庆,渝中区,川菜,3.8,3.9,3.6,3.5,62.0,261,重庆渝中区解放碑巷126号,担担面、辣子鸡、水煮鱼,担担面、辣鸡、,中等(61-100),良好(3.5-4),0.21,6.66,"['担担面', '辣子鸡', '水煮鱼']",False
陶陶居,北京,海淀区,粤菜,4.5,4.3,4.5,4.2,161.0,6115,北京海淀区长安街61号,豉汁蒸排骨、干炒牛河、虾饺,豉排骨、干炒牛河、饺,中高(101-200),优秀(4-4.5),0.15,188.3,"['豉汁蒸排骨', '干炒牛河', '虾饺']",False
日料,苏州,工业园区,日料,3.9,3.9,3.5,4.0,135.0,15,苏州工业园区龙湖天街太湖巷66号2楼,天妇罗、拉面、味噌汤,妇罗、拉面、噌,中高(101-200),良好(3.5-4),0.26,0.27,"['天妇罗', '拉面', '味噌汤']",False
自助餐馆,成都,锦江区,自助餐,3.8,3.8,3.4,3.4,140.0,517,成都锦江区建设弄588号,冰淇淋、海鲜拼盘、小龙虾,冰淇淋、海拼盘、龙,中高(101-200),良好(3.5-4),0.23,13.32,"['冰淇淋', '海鲜拼盘', '小龙虾']",False
老灶,南京,建邺区,火锅,4.1,3.9,3.9,4.3,87.0,12,南京建邺区凯德河西街70号,藕片、毛肚、午餐肉,藕片、毛肚、餐肉,中等(61-100),优秀(4-4.5),0.23,0.2,"['藕片', '毛肚', '午餐肉']",False
渝小龙坎,武汉,江岸区,火锅,4.3,4.4,4.2,4.5,113.0,91,武汉江岸区楚河汉街大道639号3楼,午餐肉、豆皮、肥牛,餐肉、豆皮、肥牛,中高(101-200),优秀(4-4.5),0.15,2.53,"['午餐肉', '豆皮', '肥牛']",False
日料,成都,青羊区,日料,3.5,3.5,3.6,3.5,233.5,466,成都青羊区恒隆广场春熙弄766号西区3层,寿司拼盘、章鱼小丸子、鳗鱼饭,拼盘、、鳗饭,高端(>200),一般(3-3.5),0.06,11.05,"['寿司拼盘', '章鱼小丸子', '鳗鱼饭']",False
面包甜点,南京,江宁区,面包甜点,4.3,4.4,4.1,3.9,28.0,983,南京江宁区ifc中山弄776号,菠萝包、马卡龙、泡芙,菠萝包、马卡龙、泡芙,低消费(≤30),优秀(4-4.5),0.25,28.8,"['菠萝包', '马卡龙', '泡芙']",True
新疆,深圳,南山区,新疆菜,3.6,3.5,3.3,3.5,95.0,283,深圳南山区大悦城科技园弄257号,羊肉串、拉条子、酸奶,肉串、拉、奶,中等(61-100),良好(3.5-4),0.12,6.85,"['羊肉串', '拉条子', '酸奶']",False
点都德楼,重庆,九龙坡区,粤菜,3.3,3.1,3.8,3.7,57.0,8,重庆九龙坡区大悦城解放碑街927号,烧鹅、叉烧、白切鸡,烧鹅、叉烧、白鸡,中低(31-60),一般(3-3.5),0.38,0.07,"['烧鹅', '叉烧', '白切鸡']",False
小生煎,苏州,姑苏区,小吃快餐,4.1,4.1,4.0,3.5,20.0,110,苏州姑苏区太古里观前弄428号,肉夹馍、麻辣烫、生煎,肉夹馍、麻辣、煎,低消费(≤30),优秀(4-4.5),0.32,2.95,"['肉夹馍', '麻辣烫', '生煎']",True
惠食佳居,武汉,江汉区,粤菜,4.1,4.0,3.7,4.3,42.0,36,武汉江汉区万达广场楚河汉街弄613号北区2层,虾饺、白切鸡、肠粉,饺、白鸡、肠粉,中低(31-60),优秀(4-4.5),0.3,0.87,"['虾饺', '白切鸡', '肠粉']",True
西餐餐厅,北京,大兴区,西餐,3.8,4.2,3.7,3.9,127.0,11,北京大兴区太古里簋街大道802号,披萨、奶油蘑菇汤、牛排,披萨、奶蘑菇、牛排,中高(101-200),良好(3.5-4),0.25,0.16,"['披萨', '奶油蘑菇汤', '牛排']",False
